INDEX,DCOP,VENDOR_LOT,DATE_TIME,Device,PART_NO,VENDOR_CODE,APPHA_TEST,B_POD_2,B_POD_3,B_VIA_L12,B_VIA_L23,B_VIA_L34,B1C_WIDTH,BUMP_OP_D,C_BX1,C_BY1,C4_COPLAN,C4_HEIGHT,C4_VOID,CU_L1,CU_L2,CU_L3,CU_L4,CU_ROUGHNE,CZ_EA_1,D_PX1,D_PY1,HD_DIAMETE,HOL_SHIFT,HP_HOLE,INS_L12,INS_L23,INS_L34,L_LENGTH,L_T_L_REG,M_BALL_POD,M1_T_S,OS_BUMP,OSP_T,P1C_TRACE,PIN_HOLE_S,POP_P_POD,PX_UNIT,PY_UNIT,R_SHIFT,RD,S_WARPAGE,S1_TRACE,SM_B_SHT_X,SM_B_SHT_Y,SM_B_THICK,SM_T_SHT_X,SM_T_SHT_Y,SM_T_THICK,SMCR_MTK_A,SMCR_MTK_E,SMEAR_RSD,SR_M_DAM_H,SR_M_DAM_S,SR_M_DAM_W,SR_U_CU,T_S_THICK,T_VIA_L12,T_VIA_L23,T_VIA_L34,T1_WIDTH,TO_YIEL,VIA_VOID,VOID_CU_P,VOID_CU_W,W_WIDTH,IsolationForest predur
11,V_MTK_MFC1,A66-FL20001A,20221003,23D,1227199101,KIT,,0.0025,0.0025,0.133,2.717,-4.433,0.08,0.47,0.012,0.004,-8.35,-6.608,7.5,0.39,2.54,2.76,0.61,-0.111,-0.123,0,0.002,-0.001,0.039,0.021,-1.85,-1.98,-2.34,0.007,56.5,0.002,5.324,-2.02,-0.068,-0.09,-0.002,-0.0015,0.004,0.004,5.042,-0.61,-0.347,0.96,16.8,15.8,0.16,10.27,9.45,-1.08,0.1,6.5,21.796,1.965,-0.01,-0.006,7.936,-0.007,4.633,3.917,0.267,-1.03,-12.41,9,14.612,42.79,0.055,-1
51,V_MTK_MFC1,Q52235017601,20221005,23D,1227199102,ZDT,0.002,0.0045,0.0015,-3,-3.77,-9.686,0.386,-1.712,-0.003,-0.001,-4.602,2.592,1.16,-1.524,1.204,-0.236,-0.482,-0.045,0.087,-0.002,0.003,0.005,-0.005,-0.046,-0.532,-0.778,0.582,0.03,46.516,0.006,2.082,0.037,-0.014,-0.264,0.068,-0.0005,0.003,-0.005,5.24,-0.088,0.45,0.882,17.283,16.036,-1.818,8.138,9.193,-1.756,4.77,5.7,22.5,-1.868,-0.01,0.002,9,0.0105,0.428,2.306,6.634,0.242,-6.54,9,14.298,38.928,0.018,1
0,V_MTK_MFC1,A66-FL200001,20221006,23D,1227199101,KIT,,-0.0005,0.0005,-0.917,-0.9,2.1,-2.3,2.57,0.004,0.004,-8.99,-6.622,7.5,0.37,0.3,1.02,-1.05,-0.116,-0.123,0.001,0.001,0.004,-0.001,-0.009,-1.61,-0.08,-1.88,-0.041,48.5,0,6.31,-0.92,0.002,1.69,-0.006,0.0015,-0.001,-0.004,5.06,-0.11,-0.145,2.26,15.6,17.4,1.2,9.17,8.45,0.12,1.2,-0.1,22.5,2.54,-0.01,-0.009,8.038,-0.002,1.383,5.917,6.683,-1.63,-12.35,9,14.868,40.744,-0.039,-1
2,V_MTK_MFC1,A66-FL200003,20221006,23D,1227199101,KIT,,-0.0015,-0.0025,-1.017,-0.433,5.533,-1.9,-2.57,-0.002,0.003,-8.95,-6.917,7.5,0.29,1.82,2.66,0.41,-0.114,-0.123,-0.001,0.002,0,-0.013,-0.024,-1.41,-1.02,-1.02,-0.034,58.5,-0.001,5.032,-0.7,0.004,1.29,-0.003,0.0015,-0.003,-0.003,4.698,-0.43,-0.11,1.72,16.4,16.8,0.82,8.95,9.25,0.22,0.1,6.5,22.5,1.045,0.004,0,8.07,-0.001,6.6,2.483,7.15,-1.01,-10.15,9,15.328,45.6,0.007,1
3,V_MTK_MFC1,A66-FL200004,20221006,23D,1227199101,KIT,,-0.0005,-0.0015,-3.183,0.033,1.45,-2.82,0.59,-0.003,0.001,-8.35,-5.573,7.5,-0.31,1.74,2.18,0.07,-0.115,-0.123,-0.003,0.003,-0.001,0.044,0.017,-2.73,-2,-2.32,0.006,58.5,-0.001,4.002,-1.26,-0.06,1.09,0.011,0.0025,0.001,0.005,4.878,0.01,0.035,1.44,16.8,15.8,0.74,9.51,9.25,-0.2,1.2,-0.1,22.5,1.635,0.004,0,8.338,-0.002,4.317,2.7,1.65,-0.45,-8.93,9,13.738,42.256,-0.009,1
45,V_MTK_MFC1,Q52233014801,20221006,23D,1227199102,ZDT,0.002,-0.0065,0.0005,-2.432,-2.992,-11.59,-0.798,-1.54,-0.003,0,-4.19,2.328,3.06,0.638,0.234,0.498,1.222,-0.085,0.057,0,0.001,0.005,0.002,-0.053,-1.25,-0.952,-0.946,0.053,50.55,0.002,1.17,-1.551,-0.029,0.418,0.068,-0.0035,-0.005,-0.01,4.66,0.046,1.08,-0.03,15.332,15.713,1.728,9.726,10.013,0.148,-0.92,6.48,22.5,-1.378,-0.008,0.004,8.438,0.0095,2.184,0.874,4.8,-0.22,-13.7,9,13.58,40.684,-0.008,1
52,V_MTK_MFC1,Q52235017701,20221006,23D,1227199102,ZDT,0.002,0.0045,0.0045,-3.812,-2.094,-10.618,-0.128,1.796,-0.005,0,-4.172,2.312,1.1,-0.05,1.33,0.984,2.064,-0.003,0.087,-0.003,0,0.013,-0.002,-0.046,-0.114,2.106,-0.978,0.007,55.736,0.008,1.896,-2.214,-0.048,0.12,0.068,0.0025,-0.004,-0.009,5.08,-0.104,1.21,0.696,15.702,15.797,-3.142,10.389,9.479,-3.426,-6.95,4.58,22.5,0.068,-0.011,0.008,8.31,0.0085,-2.358,0.358,7.358,-0.022,-6.54,9,14.716,36.142,-0.002,1
53,V_MTK_MFC1,Q52235017801,20221010,23D,1227199102,ZDT,0.002,0.0025,0.0065,-2.904,-1.856,-9.76,-0.148,2.33,0,-0.001,-3.928,3.058,1.22,-0.662,1.844,1.02,0.88,-0.001,0.087,-0.002,0,0.018,-0.011,-0.055,0.408,0.63,-0.596,-0.008,53.502,0.01,1.934,-1.064,-0.048,0.368,0.068,0.0015,-0.004,-0.007,5.06,0.258,1.11,0.734,15.559,15.319,-3.144,9.239,9.289,-2.572,4.75,5.43,22.5,-0.484,-0.01,0.008,8.254,0.0075,-1.502,0.786,7.69,-0.116,-7.34,9,15.238,36.998,-0.01,1
60,V_MTK_MFC1,Q52235035501,20221010,23D,1227199102,ZDT,0.002,0.0085,0.0085,-1.962,-2.804,-9.252,-0.762,-0.34,-0.002,0,-4.922,1.876,0.9,-0.864,0.186,0.186,0.486,-0.063,0.107,-0.004,0.002,0.002,0.005,-0.045,0.152,-0.954,-1.04,0.043,54.104,0.001,1.434,-1.932,-0.017,0.116,0.068,-0.0025,0.002,-0.007,5.22,0.646,1.104,0.234,16.381,16.857,-1.45,10.107,9.916,-2.934,-6.75,6.48,22.5,-0.654,-0.008,0.007,9,0.0035,0.22,0.688,6.296,-0.22,-6.17,9,14.982,38.72,0.056,1
63,V_MTK_MFC1,Q52235035801,20221013,23D,1227199102,ZDT,0.002,0.0075,-0.0085,-3.388,-2.904,-3.05,0.444,1.06,-0.002,0.001,-5.37,2.194,0.62,-0.306,2.334,2.008,2.742,-0.079,0.107,-0.002,0.003,-0.001,0.001,-0.035,-0.242,-0.492,-1.634,0.018,49.022,0.011,0.154,-1.543,-0.016,0.234,0.068,-0.0015,-0.002,-0.007,4.5,0.048,1.012,-1.046,16.037,15.366,0.248,9.718,10.149,-2.524,-4.15,0.23,22.5,-1.464,-0.013,0.006,9,0.0095,0.524,2.16,-0.244,0.76,-8.48,9,14.588,39.024,0.017,1
6,V_MTK_MFC1,A66-FL200007,20221015,23D,1227199101,KIT,,0.0005,0.0015,-1.1,0.15,-1.217,0.56,0.99,-0.002,0.002,-8.71,-4.197,7.5,-0.47,1.44,1.28,-0.87,-0.114,-0.123,0.001,0.002,0.014,0.042,0.022,-2.31,-1.58,-1.42,0.005,56.5,0.002,5.896,-0.42,0.008,-0.01,0.002,0.0045,0.003,0.005,4.812,-0.57,-0.203,0.32,17.2,14.8,0.76,8.67,10.05,0.26,-1.9,6.4,22.5,1.485,-0.003,-0.003,7.312,0,0.483,3.35,2.483,-0.07,-8.93,9,14.146,40.374,0.014,1
7,V_MTK_MFC1,A66-FL200008,20221015,23D,1227199101,KIT,,-0.0015,-0.0025,-1.967,-0.417,-2.067,-1.54,-1.55,-0.002,0.002,-8.67,-6.099,7.5,-0.33,0.7,0.74,-0.83,-0.114,-0.123,0,0.002,-0.001,0.041,0.037,-0.81,-1.78,0.1,0,58.5,-0.002,4.566,-1.04,-0.06,1.31,-0.002,0.0015,0.004,0.006,5.082,-0.23,-0.19,1.76,14.4,16.6,-0.38,9.29,9.85,-0.14,-1.9,6.4,21.806,1.35,0.008,-0.002,8.054,0.001,2.667,3.6,1.567,-0.71,-2.11,9,15.668,40.626,0.031,-1
56,V_MTK_MFC1,Q52235035101,20221015,23D,1227199102,ZDT,0.002,0.0055,0.0055,-3.12,-3.86,-11.08,0.33,3.7,-0.002,0,-4.638,1.744,0.2,1.28,1.16,0.18,0.94,-0.039,0.057,0,0.003,0.009,0.012,-0.037,-0.65,-0.38,-2.36,0.057,56.52,0.003,1.88,-2.325,-0.039,0.29,0.068,0.0005,-1.78E-15,-0.009,4.02,0.77,0.128,0.68,16.88,16.83,-2.62,10.5,10.08,-1.04,-2.35,6.25,22.5,1.68,-0.01,0.004,9,0.0095,1.9,2.8,3.16,-0.25,-8.14,9,14.18,40.4,0.016,1
57,V_MTK_MFC1,Q52235035201,20221015,23D,1227199102,ZDT,0.002,0.0045,0.0015,-2.618,-0.426,-9.572,0.1,-0.722,-0.002,-0.002,-4.58,2.372,0.26,0.156,0.192,-0.618,-0.902,-0.051,0.107,0,0,-0.001,0.001,-0.031,0.168,0.298,-1.266,0.021,53.304,0.003,2.144,1.76,-0.037,0.238,0.068,-0.0035,-0.004,-0.009,4.76,0.088,-0.16,0.944,13.98,17.093,-0.76,6.415,9.336,-1.808,-4.11,5.85,22.5,0.43,-0.011,0.004,9,0.0115,-0.164,2.402,6.074,0.094,-9.43,9,14.998,38.336,0.018,1
61,V_MTK_MFC1,Q52235035601,20221015,23D,1227199102,ZDT,0.002,0.0065,0.0075,-4.6,0.38,-5.72,0.07,1.42,-0.001,-0.002,-1.39,1.622,2.5,0.46,2.1,0.48,1.08,-0.051,0.107,-0.001,0.001,0.008,0.008,-0.032,-0.53,-1.54,-1.96,0.026,53.64,0.004,1.68,-2.695,-0.039,0.13,0.068,-0.0005,-0.002,-0.006,4.14,0.43,0.118,0.48,15.37,17.09,-1.58,10.87,8,-1.72,-4.77,6.08,22.5,0.96,-0.011,0.004,9,0.0095,0.92,6,10.26,-0.01,-7.22,9,14.3,39.42,0.021,1
62,V_MTK_MFC1,Q52235035701,20221015,23D,1227199102,ZDT,0.002,0.0095,-0.0145,-2.954,-0.742,-3.53,-0.206,3.282,0,0,-3.472,2.77,0.62,0.362,2.544,1.856,2.954,-0.071,0.057,-0.001,0.002,0.005,0.01,-0.036,-1.156,-1.598,-2.498,-0.023,49.162,0.005,1.072,-0.06,-0.017,-0.166,0.068,0.0005,-0.001,-0.006,4.16,0.564,1.016,-0.128,15.126,16.468,0.392,8.235,7.995,-1.756,-4.54,5.23,22.5,-1.694,-0.007,0.006,8.236,0.0095,-0.87,2.688,0.334,0.436,-7.25,9,13.674,37.63,0.037,1
50,V_MTK_MFC1,Q52235017401,20221016,23D,1227199102,ZDT,0.002,0.0065,0.0075,-3.832,-1.776,-8.504,-0.95,-0.304,-0.001,-0.001,-4.626,2.764,0.88,-0.208,0.466,0.562,0.768,-0.029,0.057,-0.001,0.001,0.015,-0.002,-0.048,0.618,-0.578,-1.974,0.028,47.466,0.001,0.834,-2.409,-0.034,0.456,0.068,-0.0005,0.001,-0.007,5.1,0.232,1.098,-0.366,17.048,16.381,-0.512,10.584,10.392,-2.746,4.86,6.39,22.5,-1.31,-0.007,0.009,9,0.0035,0.5,0.874,8.912,0.23,-7.43,9,15.448,39,0.033,1
55,V_MTK_MFC1,Q52235018001,20221016,23D,1227199102,ZDT,0.002,0.0085,0.0085,-6.726,-4.204,-8.786,-0.012,4.976,-0.001,-0.001,-4.704,2.976,0.96,0.166,2.52,2.24,2.264,-0.041,0.057,-0.002,0,0.017,0.006,-0.036,-0.878,-2.262,-1.974,0.038,56.322,0.005,1.434,0.448,-0.014,-0.334,0.068,0.0055,-1.78E-15,-0.006,5.26,0.046,-0.082,0.234,16.476,16,-1.452,7.727,8.584,-3.028,-7.45,6.47,22.5,-1.828,-0.005,0.006,9,0.0085,0.22,1.622,4.426,0.008,-8.05,9,13.952,38.72,0.037,1
5,V_MTK_MFC1,A66-FL200006,20221020,23D,1227199101,KIT,,-0.0005,-0.0005,-0.2,-4.95,0,-2.08,4.13,-0.001,0.005,-10.13,-6.194,7.5,-0.13,0.9,0.44,-0.99,-0.113,-0.123,-0.001,0,-0.001,0.04,0.015,-1.65,-1.92,-0.94,0.03,56.5,0,6.078,-1.5,-0.064,1.19,0.005,0.0035,0.004,0.006,5.288,-0.23,-0.098,1.84,16.4,16.8,1.7,9.75,10.05,-0.54,5.7,6.4,22.5,1.815,-0.008,0.006,8.01,0.001,5.55,2.433,2.95,-1.21,-9.61,9,14.8,43.918,-0.015,-1
9,V_MTK_MFC1,A66-FL200011,20221020,23D,1227199101,KIT,,-0.0015,-0.0015,-1.533,-2,-0.283,-0.08,-0.93,-0.003,0.002,-8.25,-4.206,7.5,-0.11,1.52,1.74,-1.83,-0.115,-0.123,0,-0.001,0.012,0.04,0.021,-1.37,-2.46,-1.52,0.028,58.5,-0.001,5.516,-1.72,-0.06,0.25,-0.006,0.0025,0.003,0.004,4.44,-0.21,-0.16,0.6,15.8,17,0.48,9.97,8.65,-0.54,5.7,6.5,22.5,1.525,0.003,-0.002,7.96,-0.001,4.283,-0.433,4.5,-0.21,-8.31,9,15.106,42.722,-0.035,1
20,V_MTK_MFC1,A66-FL20011A,20221020,23D,1227199101,KIT,,-0.0015,0.0005,-2.467,1.4,0.717,-0.88,-1.03,-0.001,0.003,-7.97,-5.741,7.5,0.41,3.12,2.26,0.19,-0.114,-0.123,0,0.002,0,0.041,0.025,-1.13,-1.42,-1.36,-0.002,57.5,0,5.212,-0.16,-0.062,0.79,-0.001,0.0025,0.004,0.005,4.384,-0.61,-0.157,0.06,15.2,16.2,0.78,8.41,8.05,-0.68,-1.9,6.5,21.944,1.49,0.001,-0.002,8.186,0.002,2.7,5.65,5.067,-0.43,11.75,9,15.32,40.848,0.013,-1
54,V_MTK_MFC1,Q52235017901,20221020,23D,1227199102,ZDT,0.002,0.0065,0.003,-1.662,0.091,-9.686,-0.662,-0.828,-0.002,0,-3.896,1.19,1,-0.754,-0.216,-0.644,-1.686,-0.093,0.016,-0.001,0.001,0,0.005,-0.039,-0.626,0.522,-1.344,0.068,-0.664,0.001,-0.816,-1.161,-0.01,0.81,0.068,-0.002,-0.001,-0.005,0.198,0.578,1.102,-0.801,-0.651,0.335,-2.636,-0.295,-1.034,-3.052,1.63,0.76,22.5,0.595,-0.005,0.003,-0.474,-0.001,-1.64,2.788,7.402,0.199,-8.52,9,-0.456,-2.522,0.005,1
58,V_MTK_MFC1,Q52235035301,20221020,23D,1227199102,ZDT,0.002,0.0065,0,1.506,0.471,-4,0.178,-2.062,-0.004,0,-4.338,0.3,-1.16,-0.272,0.348,-0.166,-0.762,-0.053,0.036,-0.003,0.002,0.011,0.005,-0.031,0.454,1.156,-0.076,0.024,3.384,0.004,0.546,-2.024,-0.016,-0.01,0.068,-0.003,-0.002,-0.006,0.38,-0.296,-0.084,0.561,1.406,-0.671,-0.38,-1.158,1.695,-1.952,-4.99,0.33,22.5,1.023,-0.002,-0.001,2.098,0.003,1.69,2.594,9.308,0.089,-6.89,9,0.624,0.808,0.039,1
59,V_MTK_MFC1,Q52235035401,20221020,23D,1227199102,ZDT,0.002,0.0055,0.004,-1.676,-2.239,-9.532,-0.858,-0.744,-0.004,0.002,-3.02,0.388,0.52,-1.608,-0.138,-0.392,-1.85,-0.083,0.036,-0.002,0.004,0.005,0.01,-0.032,0.714,-0.112,-0.946,0.072,-1.128,0,-0.376,-1.064,-0.011,0.656,0.068,-0.001,-0.002,-0.003,0.94,1.058,1.168,-0.361,1.885,-0.624,-0.512,-0.198,-1.035,-2.654,-4.71,0.73,22.5,0.177,0,-0.001,-0.474,-0.004,-1.836,0.686,8.348,-0.039,-11.41,9,0.884,-2.718,0.037,1
70,V_MTK_MFC1,Q52238007001,20221020,23D,1227199102,ZDT,0.002,0.0005,-0.006,0.41,-0.053,-3.714,0.12,2.692,-0.004,-0.001,-3.208,1.856,-1.06,0.312,1.236,1.264,1.072,0.005,-0.004,-0.001,-0.002,0.008,0.005,-0.033,0.502,-0.848,-2.072,0.028,3.336,0.009,0.24,-2.358,0.016,0.526,0.068,0.003,-0.002,-0.007,0.58,0.084,1.052,0.255,-0.653,-0.718,-1.38,-1.492,-0.938,-2.62,-0.67,0.76,22.5,0.231,0.001,0.002,0.502,-0.001,-1.642,1.262,-0.69,-0.483,-6.87,9,0.672,-2.524,0.021,1
65,V_MTK_MFC1,Q52238006501,20221021,23D,1227199102,ZDT,0.002,-0.0015,0.004,-1.77,-1.867,-9.998,-0.95,0.098,-0.003,-0.002,-3.186,-0.512,-0.52,-1.424,-0.326,-0.864,-0.448,-0.051,0.036,0.001,0.001,0.009,0.004,-0.037,-0.036,-1.046,-2.066,0.017,-1.026,0.009,0.412,-1.551,-0.005,0.94,0.068,0.001,-1.78E-15,-0.008,0.74,0.836,0.036,0.427,-1.182,0.132,-3.414,-0.685,0.486,-2.374,-4.78,0.64,22.5,0.389,0.004,0.004,-0.474,-0.003,-2.212,-0.992,6.11,0.037,-6.48,9,0.134,-3.094,0.018,1
4,V_MTK_MFC1,A66-FL200005,20221024,23D,1227199101,KIT,,-0.0005,-0.0005,-4.45,0.65,2.167,0.06,-0.69,-0.002,0.004,-9.69,-4.331,7.5,-0.47,1.02,2.16,-0.99,-0.116,-0.123,0.001,0.003,0.02,0.041,0.027,-1.15,-1.76,-0.68,-0.002,55.5,0,5.064,-1.18,-0.054,0.21,-0.009,0.0055,0.003,0.005,5.264,-0.31,-0.14,0.1,17,17,0.18,9.43,7.65,-0.8,5.7,6.4,22.5,1.715,-0.002,-0.005,8.098,0.001,3.05,4.833,5.517,-0.61,1.45,9,15.326,41.182,0.023,1
8,V_MTK_MFC1,A66-FL200009,20221024,23D,1227199101,KIT,,0.0005,0.0005,0.633,4.167,1.383,-0.44,2.01,0.011,0.006,-6.51,-5.322,7.5,0.33,1.76,1.46,-1.03,-0.114,-0.123,0.001,0.003,0.014,0.039,0.028,-0.75,-0.38,-0.96,-0.002,54.5,0,6.686,-0.48,-0.058,0.51,0,0.0075,0.003,0.007,4.952,-0.55,-0.105,0.32,16.2,16,1.08,8.73,8.85,0.4,-1.9,6.5,22.5,1.475,-0.012,-0.006,7.282,-0.004,4.567,5.9,4.067,-1.05,-8.43,9,15.716,42.866,-0.01,-1
10,V_MTK_MFC1,A66-FL200016,20221024,23D,1227199101,KIT,,-0.0005,0.0005,-1.833,2,-1.067,-1.22,0.39,-0.001,0.002,-8.99,-5.196,7.5,-0.15,1.54,1.46,-0.49,-0.119,-0.123,0.001,0.002,-0.003,0.046,0.022,-1.31,-1.26,-0.84,0.023,52.5,-0.001,4.67,-1.98,-0.064,0.89,0.005,0.0035,0.003,0.006,5.118,-0.59,-0.046,0.6,16.6,16.6,1.46,10.23,9.65,0.56,-0.9,-0.4,22.5,2.515,-0.004,-0.003,7.862,-0.001,3.2,5.75,3.583,-0.91,-4.69,9,15.166,41.674,0.035,1
66,V_MTK_MFC1,Q52238006601,20221024,23D,1227199102,ZDT,0.002,0.0105,0.004,-0.928,-0.651,-12.058,-0.312,0.716,0,-0.002,-3.918,0.556,-0.54,-1.048,0.42,-0.21,-0.916,-0.033,-0.004,-0.001,0.001,0.006,0.001,-0.04,0.712,-1.42,-0.29,0.035,4.018,0,-0.676,1.21,-0.021,-0.222,0.068,0.001,-1.78E-15,-0.008,0.3,0.534,1.174,-0.661,-1.279,1.181,-1.26,2.076,0.296,-3.028,-0.89,0.4,22.5,1.019,-0.003,0.002,-0.474,-0.004,-2.024,1.154,5.546,0.299,-6.32,9,0.882,-2.906,0.027,1
67,V_MTK_MFC1,Q52238006701,20221024,23D,1227199102,ZDT,0.002,-0.0015,0.005,-1.024,0.191,-10.56,-0.798,1.79,-0.007,-0.002,-2.908,1.742,0.08,-1.516,-0.886,0.35,-0.914,-0.045,0.056,-0.002,0.003,0.008,0.003,-0.033,-0.502,-0.954,-1.318,0.054,-1.596,0.01,0.114,-2.218,0.021,0.23,0.068,0.003,-1.78E-15,-0.006,0.52,0.682,0.07,0.129,-0.803,-1.2,-1.728,-1.352,-0.277,-3.12,-3.2,0.25,22.5,0.465,0.006,0.003,-0.474,-0.001,-0.438,0.126,7.32,0.189,-6.99,9,-0.332,-1.32,0.042,1
69,V_MTK_MFC1,Q52238006901,20221024,23D,1227199102,ZDT,0.002,0.0045,0.002,1.22,-0.467,-9.062,0.664,-1.536,-0.002,0.003,-3.338,0.6,2.32,-0.786,-0.694,-0.106,0.434,-0.081,-0.004,-0.003,0.002,0.018,0.01,-0.035,-0.412,-2.45,-3.186,0.057,-2.9,0.007,0.448,-0.218,-0.021,-0.184,0.068,0,0.002,-0.006,0.44,-0.44,1.006,0.463,1.864,0.895,-2.852,0.648,1.724,-1.72,-1.75,0.64,22.5,-0.323,-0.01,0.003,-0.474,-0.005,-1.464,-0.716,7.696,-0.225,-6.46,9,-0.242,-2.346,0.053,1
77,V_MTK_MFC1,Q52238014501,20221024,23D,1227199102,ZDT,0.002,0.0035,0.003,-0.924,0.291,-11.768,0.326,-1.484,0,-0.001,-4.224,0.176,3.44,0.076,-0.804,0.304,0.698,-0.025,0.036,-0.002,0.001,0.014,0.007,-0.034,0.898,-0.484,-0.57,0.024,-2.344,0.009,0.374,0.353,-0.002,-0.222,0.068,0.001,0.002,-0.006,0.86,-0.104,1.074,0.389,0.055,-0.344,-0.234,1.219,-0.941,-4.43,4.71,-8.84,22.5,-1.259,-0.008,0.004,-0.474,-0.003,-2.494,1.718,4.976,-0.075,-6.73,9,1.068,-3.376,0.019,1
64,V_MTK_MFC1,Q52238006401,20221027,23D,1227199102,ZDT,0.002,0.0075,0.003,4.004,0.041,-8.6,-0.19,2,-0.004,-0.003,-5.02,-2.77,-0.14,-0.38,0.74,0.212,1.24,-0.009,0.046,-0.001,0,0.011,0.004,-0.034,-0.43,-1.02,-1.18,0.045,-2.688,0.004,-0.792,2.175,-0.008,0.53,0.068,0.001,-0.001,-0.009,1.02,0.67,0.9,-0.777,-0.585,-0.862,-2.22,3.041,-1.15,-2.24,-5.44,0.3,22.5,1.631,-0.003,0.003,-0.474,0.003,3.14,2.28,8.5,0.431,-8.37,9,-0.26,2.258,0.051,1
75,V_MTK_MFC1,Q52238014301,20221027,23D,1227199102,ZDT,0.002,0.0065,-0.001,0.41,1.569,-8.382,0.674,-1.076,0,-0.002,-2.858,-0.02,-0.2,-0.702,0.536,0.836,-0.382,0.033,0.046,-0.002,0.001,0.002,0.012,-0.04,0.074,-0.372,-1.694,0.039,-3.512,0.005,0.318,1.328,-0.01,-0.084,0.068,-0.001,-0.002,-0.007,1.24,0.602,-0.22,0.333,-0.796,0.335,-1.286,2.194,0.498,-1.998,-2.54,0.44,22.5,-1.167,-0.002,-0.001,-0.474,0.002,1.454,0.692,8.404,-0.025,-4.66,9,0.244,0.572,0.034,1
73,V_MTK_MFC1,Q52238014101,20221028,23D,1227199102,ZDT,0.002,-0.0035,0.002,0.316,0.331,-8.856,-0.816,0.736,-0.002,-0.001,-3.364,-1.784,-1.1,-0.32,1.108,1.594,1.428,-0.051,0.066,-0.001,0.003,0.008,0.007,-0.026,-0.022,-1.322,0.212,0.047,6.096,0.008,-0.676,-1.828,0.011,1.142,0.068,-0.002,-0.002,-0.006,0.14,0.22,1.126,-0.661,-0.987,-1.007,1.478,-0.962,3.083,-2.478,-6.66,-6.87,22.5,-0.575,0,0.001,0.942,0.001,1.928,3.358,7.168,0.013,-9.39,9,0.148,1.046,0.057,1
74,V_MTK_MFC1,Q52238014201,20221028,23D,1227199102,ZDT,0.002,0.0055,0.001,1.268,1.947,-6.382,0.674,-0.89,-0.004,-0.001,-4.886,-0.632,-0.1,0.536,0.728,1.024,-0.092,-0.017,0.076,-0.003,0.001,0.005,0.005,-0.038,0.552,-0.656,0.592,0.051,0.384,0.002,0.088,-0.203,-0.011,-0.198,0.068,0,-1.78E-15,-0.006,-0.12,0.068,-0.29,0.103,-0.412,0.43,-1.286,0.663,-1.322,-2.192,-3.5,0.4,22.5,0.357,0,-0.002,-0.474,0.003,1.07,2.12,11.262,0.473,-6.89,9,0.722,0.188,0.047,1
76,V_MTK_MFC1,Q52238014401,20221028,23D,1227199102,ZDT,0.002,0.0075,0.003,0.598,1.053,-6.946,-0.014,3.522,-0.003,0.001,-3.858,-0.214,-0.54,0.35,1.518,1.23,1.392,0.007,0.006,-0.001,0.003,0.002,0.013,-0.029,-1.348,-1.356,-2.882,0.06,-3.116,0.003,-1.198,2.909,-0.011,0.024,0.068,0.004,0.001,-0.006,1.22,-0.222,-0.14,-1.183,-0.557,-0.047,-2.202,3.775,1.023,-3.004,-2.28,0.72,22.5,-0.711,-0.003,0.003,-0.474,0.002,0.428,4.852,8.46,0.813,-6.66,9,-1.178,-0.454,0.032,1
78,V_MTK_MFC1,Q52238014601,20221028,23D,1227199102,ZDT,0.002,0.0065,0.001,3.078,2.711,-6.668,0.292,-0.444,-0.005,-0.002,-2.908,-0.126,-0.26,-0.32,1.492,1.69,0,-0.001,-0.004,-0.001,0.002,0.005,0.013,-0.035,-0.402,-0.846,-1.882,0.062,-0.568,0.004,-0.064,0.085,0.011,-0.236,0.068,-0.001,0.001,-0.007,-0.24,-0.046,-0.14,-0.049,-1.18,0.239,-1.57,0.951,0.496,-2,-2.84,0.69,22.5,0.733,-0.002,-0.001,-0.474,0.005,2.312,1.166,10.596,0.549,-8.28,9,-0.232,1.43,0.031,1
68,V_MTK_MFC1,Q52238006801,20221029,23D,1227199102,ZDT,0.002,0.0065,0,1.36,-0.145,-10.382,-0.168,-3.59,-0.004,0,-1.696,-1.348,0.2,-0.89,-0.224,0.452,-0.668,-0.027,0.066,-0.002,0.003,0.005,0.006,-0.036,0.552,0.488,0.024,0.058,8.29,0.003,0.242,-1.063,0.008,0.068,0.068,-0.006,-0.002,-0.008,-0.02,0.408,-0.2,0.257,-0.126,-1.197,0.048,-0.197,-0.556,-1.05,-2.2,0.47,22.5,0.545,0.003,-1.39E-17,-0.474,0.003,-0.072,0.976,7.262,0.471,-5.44,9,0.722,-0.954,0.045,1
94,V_MTK_MFC1,Q52239003201,20221101,23D,1227199102,ZDT,0.002,0.0055,0.003,2.648,1.211,-11.35,-0.034,0.732,-0.001,0,-4.596,-1.338,-0.06,-1.354,0.87,0.8,0.816,0.005,0.066,-0.001,0.004,0.012,0.002,-0.038,0.816,-0.056,-2.354,0.064,6.83,0.003,-0.988,4.297,0.012,-0.05,0.068,0.002,0.001,-0.007,0.62,0.522,0.062,-0.973,-0.127,0.67,-2.346,5.163,0.211,-2.476,-2.55,0.71,22.5,-0.423,-0.001,0.002,-0.474,0.003,0.41,3.138,5.068,0.277,-6.81,9,0.986,-0.472,0.046,1
