INDEX,DCOP,VENDOR_LOT,DATE_TIME,Device,PART_NO,VENDOR_CODE,APPHA_TEST,B_POD_2,B_POD_3,B_VIA_L12,B_VIA_L23,B_VIA_L34,B1C_WIDTH,BUMP_OP_D,C_BX1,C_BY1,C4_COPLAN,C4_HEIGHT,C4_VOID,CU_L1,CU_L2,CU_L3,CU_L4,CU_ROUGHNE,CZ_EA_1,D_PX1,D_PY1,HD_DIAMETE,HOL_SHIFT,HP_HOLE,INS_L12,INS_L23,INS_L34,L_LENGTH,L_T_L_REG,M_BALL_POD,M1_T_S,OS_BUMP,OSP_T,P1C_TRACE,PIN_HOLE_S,POP_P_POD,PX_UNIT,PY_UNIT,R_SHIFT,RD,S_WARPAGE,S1_TRACE,SM_B_SHT_X,SM_B_SHT_Y,SM_B_THICK,SM_T_SHT_X,SM_T_SHT_Y,SM_T_THICK,SMCR_MTK_A,SMCR_MTK_E,SMEAR_RSD,SR_M_DAM_H,SR_M_DAM_S,SR_M_DAM_W,SR_U_CU,T_S_THICK,T_VIA_L12,T_VIA_L23,T_VIA_L34,T1_WIDTH,TO_YIEL,VIA_VOID,VOID_CU_P,VOID_CU_W,W_WIDTH,IsolationForest predur
18,V_MTK_MFC1,A66-FL2000FJ,20220512,23D,1227199101,KIT,,-0.0005,0.0005,0.467,1.217,2.25,-0.12,0.87,-0.003,0.006,-8.13,-7.07,7.5,0.35,1.06,1.44,-0.61,-0.118,-0.123,0.005,0.004,-0.001,0.013,-0.012,-1.63,-1.78,-1.1,0.004,44.5,-0.001,5.462,-2.22,-0.05,0.33,-0.004,0.0045,-0.001,-0.004,5.288,-0.37,-0.08,0.02,16.6,14.6,0.54,10.47,9.45,-0.68,0.7,6,21.048,2.805,-0.011,-0.004,8.336,0.001,3.317,4.767,5.75,-0.09,-12.1,9,14.834,42.484,-0.012,1
16,V_MTK_MFC1,A66-FL2000FG,20220513,23D,1227199101,KIT,,-0.0025,-0.0015,-1.067,-2.267,-2.017,-1.28,-1.41,-0.002,0.004,-7.05,-5.088,7.5,-0.93,1.04,2.1,-0.81,-0.101,-0.123,0.007,0.006,-0.001,0,-0.018,-1.13,-0.2,-0.72,-0.024,56.5,-0.001,4.868,-1.78,-0.02,0.49,-0.001,0.0045,-0.002,-0.002,5.254,-0.25,-0.314,1.4,16,13.6,0.42,10.03,10.05,0.24,3.2,6,21.858,-0.17,-0.003,-0.002,8.132,0.005,6,2.783,4.167,-1.25,-5.12,9,15.318,44.682,-0.026,-1
17,V_MTK_MFC1,A66-FL2000FH,20220515,23D,1227199101,KIT,,-0.0005,-0.0015,-1.567,3.267,0.817,-1.42,0.05,-0.002,0.002,-7.51,-5.39,7.5,-0.67,1.08,1.26,-0.23,-0.114,-0.123,0.005,0.003,0.003,0.031,-0.014,-1.53,-0.88,-1.24,0.005,46.5,-0.002,6.356,-1.6,-0.03,1.03,0.004,0.0045,0,-0.001,5.33,-0.07,0.115,1.28,15.8,16.4,1.54,9.85,9.25,-0.18,0.7,6,22.204,0.38,0.002,-0.002,7.73,-0.002,2.7,5.467,5.6,-0.57,-10.22,9,14.946,41.636,-0.012,1
19,V_MTK_MFC1,A66-FL2000FK,20220603,23D,1227199101,KIT,,0.0085,0.0085,1.783,2.683,-1.067,-0.42,1.01,-0.001,-0.003,-8.23,-6.036,7.5,-0.51,1.9,3.12,-0.05,-0.078,-0.123,0.003,0.002,0.001,0.01,-0.036,-1.25,-1.58,-2.1,-0.015,53.5,0.01,5.204,-1.88,-0.07,-0.55,0.021,-0.0005,-0.001,-0.003,5.322,-0.45,-0.12,2.04,15.4,12.8,0.88,10.13,9.25,0.22,0.7,6,22.5,1.185,-0.007,0,7.724,-0.002,5.417,5.85,2.867,-0.05,-12.48,9,15.212,44.4,-0.03,-1
31,V_MTK_MFC1,Q52215030901,20220608,23D,1227199102,ZDT,0.002,0.0025,0.0045,-3.54,-3.78,-3.8,1.17,0.12,-0.005,0,2.514,0.57,0.64,-0.02,1.28,1.4,1.38,-0.031,0.067,-0.002,0.003,0.015,0.02,-0.042,1.35,0.36,0.56,0.029,55.66,0.007,1.1,-1.505,-0.022,-0.17,0.068,0.0025,-0.005,-0.009,5.08,-0.29,1.05,-0.1,16.04,15.13,0.24,9.68,10.12,-2.74,1.89,6.48,22.5,-1.26,-0.005,0.003,7.92,0.0125,-0.38,1.14,1.76,0.59,-11.32,9,16.18,38.12,0.036,1
32,V_MTK_MFC1,Q52215031001,20220608,23D,1227199102,ZDT,0.002,0.0025,0.0035,-3.86,-4.36,-3.84,0.07,-0.84,0.001,0,4.414,0.414,2.2,-2,0.04,-0.86,0.24,-0.031,0.067,-0.002,0.002,0.013,0.017,-0.019,0.13,0.56,-0.42,0.049,53.88,-0.001,2.18,-0.985,-0.01,0.11,0.068,0.0015,-1.78E-15,-0.007,4.84,0.81,0.96,0.98,16.83,16.62,-2.62,9.16,9.75,-0.68,5.21,6.09,22.5,-0.48,-0.01,0.005,9,0.0075,2.14,4.66,2.54,-0.05,-10.34,9,14.96,40.64,0.032,1
27,V_MTK_MFC1,Q52215007501,20220613,23D,1227199102,ZDT,0.002,-0.0065,-0.0005,0.92,-2.36,-4.96,0.37,0.52,-0.003,-0.002,5.304,1.516,-0.86,-0.42,1.74,0.56,0.46,-0.021,0.067,-0.001,0.004,0.003,0.04,0.006,-0.91,-1.78,-0.8,0.014,53.3,0.007,1.62,-1.125,-0.02,0.15,0.068,-0.0015,0.002,-0.001,5.02,-0.25,1.26,0.42,15.79,16.26,-1.38,9.3,9,-0.34,2.33,6.36,22.5,-0.58,-0.006,0.001,9,0.0095,5.26,2.02,0.52,0.05,-11.21,9,13.92,43.76,0.064,1
30,V_MTK_MFC1,Q52215030801,20220613,23D,1227199102,ZDT,0.002,0.0025,0.0035,-3.5,-4.6,-4.94,-0.63,-0.04,-0.001,-0.001,2.156,0.558,1.66,-1.58,-0.08,-0.84,-0.3,-0.057,0.067,-0.001,0.003,-0.001,0.011,-0.029,0.49,0.54,-0.66,0.059,54.84,0.001,1.74,-0.075,-0.033,0.49,0.069,0.0015,-0.002,-0.009,4.56,1.05,0.85,0.54,17.48,15.25,-2.36,8.25,9.51,-2.5,0.82,6.07,22.5,-0.82,-0.003,0.004,9,0.0075,5.64,0.52,-0.86,-0.05,-10.1,9,15.32,44.14,0.031,1
33,V_MTK_MFC1,Q52215031101,20220619,23D,1227199102,ZDT,0.002,0.0035,0.0055,-5,-4.08,-5.84,0.21,0.78,-0.001,0.001,1.088,0.408,0.78,-1.3,0.12,-0.6,0.9,-0.061,0.077,-0.002,0.003,-0.002,0.014,-0.023,1.67,0.42,0.24,0.04,52,0.002,1.98,-0.415,-0.033,-0.09,0.068,0.0015,0.002,-0.004,4.72,0.59,0.78,0.78,15.87,15.8,-3.26,8.59,10.12,-3,0.61,6.48,22.5,-1.68,-0.007,0.007,9,0.0105,1.02,2.8,1.8,-0.15,-11.36,9,16.5,39.52,0.019,1
28,V_MTK_MFC1,Q52215030501,20220629,23D,1227199102,ZDT,0.002,0.0035,0.0065,-5.32,-7.2,-5.68,0.65,-0.66,-0.001,0.001,2.372,0.724,0.82,-0.48,0.04,-0.42,1.14,-0.019,0.067,-0.001,0,0.019,0.014,-0.033,0.93,0.48,0.44,0.036,53.38,0.003,2.42,-1.245,-0.05,0.09,0.068,0.0025,-0.002,-0.008,5,0.33,-0.1,1.22,16.18,16.48,-1.64,9.42,9.62,-2.74,2.45,-5.31,22.5,-1.28,-0.004,0.006,9,0.0105,0.24,-1.16,-0.88,-0.05,-12.99,9,15.76,38.74,0.031,1
